topic,term1,term2,score,relatedness_level
parents should be allowed to genetically screen fetuses for heritable diseases,live birth rate,gene therapy,0.0,low
parents should be allowed to genetically screen fetuses for heritable diseases,live birth rate,genetic screening,0.2,low
parents should be allowed to genetically screen fetuses for heritable diseases,live birth rate,heritable diseases,0.4,medium
parents should be allowed to genetically screen fetuses for heritable diseases,live birth rate,invasive procedure,0.0,low
parents should be allowed to genetically screen fetuses for heritable diseases,live birth rate,invasive test,0.0,low
parents should be allowed to genetically screen fetuses for heritable diseases,live birth rate,maternal serum,0.1,low
parents should be allowed to genetically screen fetuses for heritable diseases,live birth rate,parents,0.6,medium
parents should be allowed to genetically screen fetuses for heritable diseases,live birth rate,test results,0.0,low
parents should be allowed to genetically screen fetuses for heritable diseases,live birth rate,uterus,0.1,low
parents should be allowed to genetically screen fetuses for heritable diseases,maternal,fetuses,0.6,medium
parents should be allowed to genetically screen fetuses for heritable diseases,maternal,genetic screening,0.2,low
parents should be allowed to genetically screen fetuses for heritable diseases,maternal,heritable diseases,0.5,medium
parents should be allowed to genetically screen fetuses for heritable diseases,maternal,parents,0.7,high
parents should be allowed to genetically screen fetuses for heritable diseases,maternal serum,fetuses,0.9,high
parents should be allowed to genetically screen fetuses for heritable diseases,maternal serum,genetic screening,0.5,medium
parents should be allowed to genetically screen fetuses for heritable diseases,maternal serum,heritable diseases,0.8,high
parents should be allowed to genetically screen fetuses for heritable diseases,maternal serum,parents,0.5,medium
parents should be allowed to genetically screen fetuses for heritable diseases,neural tube defects,egg,0.1,low
parents should be allowed to genetically screen fetuses for heritable diseases,neural tube defects,fetuses,1.0,high
parents should be allowed to genetically screen fetuses for heritable diseases,neural tube defects,gene therapy,0.1,low
parents should be allowed to genetically screen fetuses for heritable diseases,neural tube defects,genetic screening,0.6,medium
parents should be allowed to genetically screen fetuses for heritable diseases,neural tube defects,heritable diseases,0.6,medium
parents should be allowed to genetically screen fetuses for heritable diseases,neural tube defects,invasive procedure,0.2,low
parents should be allowed to genetically screen fetuses for heritable diseases,neural tube defects,parents,0.2,low
parents should be allowed to genetically screen fetuses for heritable diseases,neural tube defects,performed,0.0,low
parents should be allowed to genetically screen fetuses for heritable diseases,neural tube defects,prenatal testing,0.8,high
parents should be allowed to genetically screen fetuses for heritable diseases,neural tube defects,screening test,0.7,high
parents should be allowed to genetically screen fetuses for heritable diseases,neural tube defects,trimester,0.1,low
parents should be allowed to genetically screen fetuses for heritable diseases,neural tube defects,ultrasound,0.7,high
parents should be allowed to genetically screen fetuses for heritable diseases,neural tube defects,uterus,0.2,low
parents should be allowed to genetically screen fetuses for heritable diseases,performed,fetuses,0.0,low
parents should be allowed to genetically screen fetuses for heritable diseases,performed,genetic screening,0.5,medium
parents should be allowed to genetically screen fetuses for heritable diseases,performed,heritable diseases,0.0,low
parents should be allowed to genetically screen fetuses for heritable diseases,performed,parents,0.0,low
parents should be allowed to genetically screen fetuses for heritable diseases,pregnancy,disorders,0.5,medium
parents should be allowed to genetically screen fetuses for heritable diseases,pregnancy,fetuses,1.0,high
parents should be allowed to genetically screen fetuses for heritable diseases,pregnancy,gene therapy,0.3,low
parents should be allowed to genetically screen fetuses for heritable diseases,pregnancy,genetic screening,0.6,medium
parents should be allowed to genetically screen fetuses for heritable diseases,pregnancy,heritable diseases,0.7,high
parents should be allowed to genetically screen fetuses for heritable diseases,pregnancy,parents,0.9,high
parents should be allowed to genetically screen fetuses for heritable diseases,pregnancy,performed,0.0,low
parents should be allowed to genetically screen fetuses for heritable diseases,pregnancy,prenatal testing,0.9,high
parents should be allowed to genetically screen fetuses for heritable diseases,preimplantation genetic diagnosis,amniocentesis,0.3,low
parents should be allowed to genetically screen fetuses for heritable diseases,preimplantation genetic diagnosis,dna,0.8,high
parents should be allowed to genetically screen fetuses for heritable diseases,preimplantation genetic diagnosis,egg,0.6,medium
parents should be allowed to genetically screen fetuses for heritable diseases,preimplantation genetic diagnosis,fetuses,0.9,high
parents should be allowed to genetically screen fetuses for heritable diseases,preimplantation genetic diagnosis,genetic screening,1.0,high
parents should be allowed to genetically screen fetuses for heritable diseases,preimplantation genetic diagnosis,heritable diseases,0.9,high
parents should be allowed to genetically screen fetuses for heritable diseases,preimplantation genetic diagnosis,invasive test,0.4,medium
parents should be allowed to genetically screen fetuses for heritable diseases,preimplantation genetic diagnosis,parents,0.6,medium
parents should be allowed to genetically screen fetuses for heritable diseases,preimplantation genetic diagnosis,presymptomatic testing,0.6,medium
parents should be allowed to genetically screen fetuses for heritable diseases,preimplantation genetic diagnosis,screening test,0.8,high
parents should be allowed to genetically screen fetuses for heritable diseases,preimplantation genetic diagnosis,ultrasound,0.4,medium
parents should be allowed to genetically screen fetuses for heritable diseases,prenatal diagnosis,amniocentesis,0.7,high
parents should be allowed to genetically screen fetuses for heritable diseases,prenatal diagnosis,chromosomes,0.9,high
parents should be allowed to genetically screen fetuses for heritable diseases,prenatal diagnosis,donor eggs,0.1,low
parents should be allowed to genetically screen fetuses for heritable diseases,prenatal diagnosis,fetuses,1.0,high
parents should be allowed to genetically screen fetuses for heritable diseases,prenatal diagnosis,genetic screening,1.0,high
